[00:16] 各位同学大家好

[00:17] 欢迎大家回来

[00:19] 那么在这节课当中

[00:20] 我们要给大家主要介绍一下操作系统的发展历史

[00:24] 和一些计算机相关的一些基本的常识

[00:27] 这里面我们说操作系统的发展

[00:30] 实际上是伴随着硬件的发展而发展的

[00:33] 比如说在我们说第一代计算机之前的这段时间

[00:38] 也就是说在1946年之前

[00:40] 我们这个时候我们说操作系统

[00:43] 我们说当时的计算机是没有操作系统的

[00:45] 甚至软件和硬件没有做到基本的分离

[00:48] 那个时候就是把运算逻辑以硬件的形式固化在计算机当中的

[00:53] 那么这个时候有一个非常著名的数学家

[00:55] 也是这个计算机学家叫做冯诺依曼

[00:58] 提出来我们能不能把我们的运算逻辑和硬件给它区分开来

[01:03] 这件事在现在看来是一个基本的常识

[01:07] 我们现在写软件跟硬件本来就是分开的

[01:10] 但是这个理论也就是说

[01:12] 我把运算逻辑和它对应的硬件区分开来

[01:15] 做到软件和硬件分离在当时是革命性的

[01:18] 因为早期的计算机我们说更接近于传统的机器

[01:23] 比如说我们之前更早的时候的计算机是一种叫做差分机

[01:27] 我们是按照这种仿布机的模型去制造的

[01:30] 因此冯诺依曼体系当时的这个理论是具有革命性的

[01:34] 另外一个冯诺依曼提出的除了将软件硬件分离之外

[01:38] 还有一个就是二进制的提出也是冯诺依曼提出来的

[01:42] 冯诺依曼本身称为计算机之父

[01:45] 而且是这个现代的博弈论之父

[01:47] 那么整个电子现代电子计算机的电机人有两位

[01:51] 其中一位就是冯诺依曼

[01:53] 另外一个是这个阿兰图灵

[01:55] 阿兰图灵也是本身一个非常优秀的数学家

[01:59] 包括非常优秀的密码学家

[02:01] 在二战的时期对这个密码的破译也是做出了突出的贡献

[02:05] 有兴趣的同学大家可以去啊

[02:07] 找一些资料啊

[02:08] 看一下这两位计算机史上的电机人相关的一些历史

[02:13] 那这里面我们说

[02:15] 第一代计算机实际上是从1946年到1958年提出来的

[02:19] 那么对应于第一代计算机是电子管计算机

[02:22] 对应于第一代计算机

[02:24] 我们说它基本上没有操作系统

[02:26] 基本上就是打孔机的输出啊

[02:28] 包括这个普通的输入等等

[02:29] 第一代计算机它没有这个操作系统

[02:33] 那么对应于第二代计算机

[02:35] 大概是从1958年到1964年

[02:37] 这六年的时间

[02:38] 我们由晶体管作为运算逻辑代替之前的电子管

[02:42] 而这个时候出现了

[02:45] P触底所谓P触底系统

[02:47] 就说一个计算机它本身有运算能力

[02:49] 然后我们在提交作业的时候是一个作业

[02:52] 一个作业的提交

[02:53] 而且只能一次只能运行一个作业

[02:56] 我们说第二代计算机有了基本的操作系统的模型

[03:01] 或者说基本的操作系统的雏形

[03:03] 是P触底系统

[03:05] 那么到第三代计算机也是

[03:07] 也就是说由集成电路作为这个基础的运算逻辑来代替

[03:11] 晶丝晶体管的时候

[03:13] 这个时候我们说

[03:15] 有了现代操作系统的雏形

[03:17] 这里面的一个典型的例子就是IBM的360系统

[03:21] 我们说IBM的360系统在整个计算机的发展历史当中

[03:26] 不管是对硬件的贡献

[03:28] 不管它是对软件的贡献都是非常重要的

[03:31] 那么到第四代计算机也是由大规模集成电路

[03:34] 或者叫超大规模集成电路来代替大规模集成电路的时候

[03:38] 有了现代操作系统设计蓝板或者设计雏形

[03:41] 比如说是多任务的

[03:42] 比如说支持多媒体的

[03:44] 比如说

[03:45] 更好的UI

[03:46] 更好的用户界面

[03:47] 更快的计算速度等等

[03:49] 这里面我们看一下操作系统的发展历史

[03:52] 那么在操作系统发展历史当中

[03:55] 最为著名的一个例子就是这个UNIX

[03:58] 这里面我们看UNIX是怎么诞生的呢

[04:02] 我们说在1960年之前

[04:04] 美国有一所大学

[04:07] 或叫做这个美国的麻省理工大学

[04:09] 那个时候麻省理工大学自己设计和开发了一个非常著名的分石系统

