[00:16] 各位同学大家好

[00:17] 我们继续给大家介绍操作系统的分类这一块内容

[00:21] 那么上一节课给大家介绍了大型机当中的一些个操作系统

[00:26] 比如说这个批处理系统

[00:28] 比如说多道程序系统

[00:29] 比如说这个分时系统

[00:31] 那么今天我们这节课给大家主要介绍这个个人计算机系统

[00:36] 以及这个叫做多处理器系统

[00:38] 这里面我们首先看个人计算机系统

[00:40] 对于个人计算机系统

[00:42] 实际上它相对内容比较简单

[00:44] 对吧

[00:44] 我们说一个计算机主要就针对一个用户去使用

[00:47] 而它一般所使用的这个外部设备或者叫做IO设备

[00:51] 就包括这个键盘

[00:52] 鼠标

[00:53] 显示器

[00:53] 打印机等等

[00:54] 对于个人计算机的操作系统的设计原则

[00:58] 我们说有两方面内容

[01:00] 第一个就是这个方便性

[01:01] 也就是convenience

[01:02] 第二个方面就是这个response

[01:05] 叫做这个响应速度

[01:07] 也就是说我们对于个人计算机的这个操作系统

[01:10] 一方面我们要非常应该方便的使用

[01:13] 另外一个它的响应速度

[01:14] 速度应该特别的快

[01:16] 这里面我们常用的个人计算机的这个操作系统

[01:19] 有这个Windows

[01:20] Mac

[01:20] 包括这个Linux

[01:22] 包括一些UNIX

[01:24] 这块不多说了啊

[01:26] 那么另外一个操作系统的分类是这个多处理器系统

[01:30] 那么多处理器系统包含三个子类

[01:33] 我们看现在我们给大家介绍第一个子类

[01:36] 也叫做并行计算机系统

[01:38] 那么对应于并行计算机系统指的是

[01:41] 当前系统有多个处理器一起运行

[01:44] 这个application一起运行程序

[01:47] 这里面并行系统又可以称为叫做锦偶合系统

[01:51] 这里面为什么说它叫锦偶合系统啊

[01:54] 我们指的是这里面的多个处理器一般在一块主板上

[01:59] 并且它们共享内存和共享时钟

[02:02] 这里面的锦偶合的锦指的是多个处理器之间的交互非常的紧密

[02:08] 因为它们共享了内存

[02:09] 而这多CPU系统的这个多个CPU可以通过一些共享内存

[02:14] 通信这里面我们说并行计算机的一个优势或者说它的一个特点

[02:19] 一方面我们增加了整个计算机相对于单CPU的这个计算机系统

[02:24] 它一方面增加了它的吞吐量

[02:26] 另一方面增加了计算机系统的可靠性

[02:29] 为什么说它可以增加可靠性啊

[02:31] 就说如果一个CPU当掉了

[02:33] 那个CPU坏了

[02:34] 我们可以马上有其他的CPU能够替补上啊

[02:38] 能够进一步执行我们后续的工作

[02:41] 除此之外

[02:41] 我们说多处理器系统或者叫并行计算机系统

[02:44] 它还有一定的经济上的优势

[02:47] 这里面的经济上的优势指的是对应于多个CPU

[02:51] 为多个CPU去建立多个计算机系统的成本要远远高于为多个CPU建立一个计算机系统

[02:59] 指的是这样一件事

[03:02] 那么对应于并行系统

[03:04] 我们说有两种结构啊

[03:06] 第一种结构是多处理器系统的并行系统

[03:09] 第一种结构叫做对称结构

[03:11] 对应于对称结构来讲

[03:13] 每一个

[03:14] 处理器都可以运行对应的应用程序

[03:18] 或者说咱们这本教材上是这么说的

[03:20] 就是每一个处理器都可以运行一个操作系统的拷贝

[03:25] 我们说这又是什么意思啊

[03:26] 什么叫做每一个处理器都运行一份操作系统的拷贝啊

[03:31] 实际上刚才怎么看

[03:32] 假设我们假设操作系统占用了内存地址的滴滴值位

[03:37] 实际上这句话的意思指的是

[03:38] 每一个处理器都可以对内存当中的CPU所占用的内存地址进行寻取

[03:44] 并且可以使用操作系统向上提供的一系列的服务

[03:48] 包括系统调用啊等等这些东西

[03:51] 而对应于对称结构来讲

[03:53] 每一个处理器都是相同的

[03:55] 或者是每一个系统

[03:57] 每一个CPU

[03:58] 每一个处理器都是对称的

[04:00] 都可以去执行对应的应用程序

[04:02] 而我们现代操作系统

[04:04] 或者说现在比较流行的操作系统

[04:06] 基本上都是一种对称结构

[04:08] 因为我们现在的不光是笔记本

[04:10] 不光是我们的这个台式机

[04:12] 也包括咱们现在的手机

[04:14] 基本上都是多处理器结构吧

[04:16] 比如说我们现在的i3啊

[04:17] i5啊

[04:18] i7啊

[04:18] 基本都是这个四个核心啊

[04:20] 或者是六个核心啊

[04:22] 这不只不过是它封装在了一起

[04:23] 那对于并行系统的另外一种结构

[04:26] 我们说叫做非对称结构

[04:28] 什么叫做非对称结构啊

[04:30] 就指的是这一类结构CPU当中

[04:32] 有一个处理器是主处理器

[04:35] 叫做Master Process

[04:37] 另外其他的所有的处理器都叫做从处理器

[04:41] 叫做Slave Processor

[04:42] Slave这个词

[04:43] 实际上是这个奴隶的意思对吧

[04:46] 我们说看英文Master Processor是主人

[04:49] Slave Processor这是奴隶啊

[04:50] 这里面我们看

[04:51] 课件Master Processor这是一个单数的名词

[04:55] 对吧

[04:55] 我证明一个系统就有一个主处理器

[04:58] 而对于从处理器啊

[04:59] 这个Slave Processor

[05:01] 我们看是个复数形式

[05:02] 也就是一个主处理器对应着多个从处理器

[05:06] 而对于这种非对称结构一般是不支持的

[05:10] 一般这种非对称结构的多处理器系统

[05:13] 一般都是比较大型的计算机系统

[05:16] 才会使用这样一个结构

[05:18] 而对应于这种主从结构

[05:21] 一般主处理器用来接收作业

[05:24] 我把作业都收回来

[05:25] 然后我们把这个作业分配给不同的从处理器

[05:30] 让他们这个从处理器去真正运行应用程序

[05:34] 而主处理器就负责收一些作业

[05:37] 收一些应用

[05:38] 并且把它分配给从处理器

[05:40] 第三种多处理器系统

[05:42] 我们叫做

[05:43] 分布式系统

[05:45] 分布式系统也可以称作为松偶合系统

[05:49] 这里面的松偶合系统也是指的

[05:51] CPU之间的这种交互相对比较松散

[05:55] 比如说对应于松偶合系统或者叫分布式系统

[05:59] 它们没有共同的内存

[06:00] 也就是说它们不共享内存

[06:03] 而对应于分布式系统的多个CPU

[06:05] 或者是多个主机一般是分布在广域网上

[06:09] 这里面我们一般用这种大型网站的架设的时候

[06:13] 我们在server端一般采用的是这种分布式系统

[06:16] 比如说你要建立一个门户的网站

[06:19] 我们说中国非常的大

[06:21] 你不可能把你的对应的server只放在北京

[06:24] 你只放在北京这一个地方

[06:26] 我们说对如果是这样的话

[06:27] 可能其他地方的访问一方面速度可能会受到干扰

[06:32] 这个速度可能会比较慢

[06:33] 然后地理原因地理距离比较远

[06:35] 另一方面

[06:36] 如果你就一个server放在北京

[06:38] 而且它的见状性也非常的差

[06:40] 比如这个server当了怎么办

[06:42] 这个时候

[06:43] 我们就说了

[06:43] 就需要一个分布式系统

[06:45] 比如说你建立一个门户网站

[06:47] 我可以把华北的节点的中心放在北京

[06:50] 并且在东北的这个节点

[06:52] 我可以放在沈阳啊

[06:53] 我们在华南的地区

[06:54] 比我们在西部地区都可以设一些这样的节点

[06:57] 也就是说多个server共同去做这项工作

[07:01] 那么对应这样server端的多个处理器

[07:04] 或者是多个主机

[07:06] 他们之间运行的这种系统就可以称之为solo和系统

[07:10] 也可以叫做分布式系统

[07:12] 那么对应于分布式系统的几个作用或者说几个目的

[07:16] 第一个就是资源共享

[07:18] 我可以去分享一些个信息

[07:19] 比如说门户网站对外发布一些TML这个页面

[07:22] 对吧

[07:23] 另外一个我们说对于分布式系统

[07:25] 也可以使用这个分布式系统来进行科学运算的加速

[07:29] 当然这个用的相对比较少

