[00:16] 各位同学大家好

[00:17] 今天给大家介绍虚论这一块的第四块内容

[00:21] 也就是操作系统的结构

[00:22] 那么这块内容包括三大部分

[00:25] 第一部分内容给大家介绍操作系统的组件

[00:28] 也就是说操作系统有哪些部分构成的

[00:31] 那么第二部分内容给大家介绍操作系统的服务

[00:35] 比如说这个操作系统向上

[00:36] 对这些应用程序

[00:37] 对这些用户提供了一些什么样的服务

[00:40] 以及这些服务是怎么实现的

[00:43] 这里面有给大家介绍一个新的概念

[00:45] 叫做系统调用

[00:46] 另外一个第三部分内容

[00:48] 给大家介绍一个操作系统的结构

[00:51] 也就是说操作系统里面的功能

[00:53] 包括它的组织非常的复杂

[00:55] 这里面我们以一种什么样的方式去组织操作系统

[00:59] 这是第三部分给大家介绍的内容

[01:01] 首先给大家介绍操作系统的组件

[01:04] 也就是说对应于一般意义上的操作系统

[01:07] 至少应该包含这八个方面

[01:09] 比如说第一个进程管理

[01:12] 比如说第二个内存管理

[01:14] 第三个文件管理

[01:15] 第四个IO系统

[01:16] 第五个这个叫做二级存储管理

[01:19] 包括网络管理

[01:20] 包括保护系统

[01:21] 以及这个命令行解释程序

[01:22] 这里面我们说几乎所有的操作系统

[01:26] 都会提供这八大组件

[01:29] 这里面我们先看第一个

[01:31] 进程管理这一块

[01:32] 我们说进程管理这一块的第一个概念

[01:35] 之前也已经给大家简单的介绍过

[01:38] 就是什么是进程

[01:39] 这里面我们说进程实际上是1966年

[01:42] 1966年是咱们之前给大家讲

[01:45] 在这个历史的时候

[01:46] 我们说这个最开始去设计的一个大的操作系统

[01:50] 有美国的MIT

[01:51] 美国的通用公司

[01:52] 还有这个贝尔仙市

[01:53] 他们三家一起设计这个

[01:55] 这个一个叫做Multics

[01:57] 这个操作系统的时候

[01:58] 由MIT的这个工程师

[02:00] 首次提出了这个进程的概念

[02:03] 这里面我们先简单的理解为

[02:05] 进程就是正在执行的程序

[02:07] 也就是说这个进程正在计算机当中

[02:10] 跑的这个过程

[02:11] 或者是跑的这个程序

[02:12] 就叫做进程

[02:13] 另外一个我们说

[02:15] 提到进程

[02:16] 它就涉及到一个背景上的知识

[02:18] 也就是说进程只在多道程序下运行的程序才叫进程

[02:23] 因此它一定是一个多道程序

[02:24] 一定是一个并发环境

[02:26] 这里面我们说一个进程在执行的过程当中

[02:30] 它需要一系列的系统资源

[02:31] 比如说你需要CPU

[02:33] 没有CPU的参与

[02:34] 你这个进程是执行不了的

