[00:16] 各位同学大家好

[00:17] 下面给大家介绍这个

[00:19] 咱们进程这一块的第三部分内容

[00:21] 叫做这个进程的操作

[00:23] 那么这一块主要给大家介绍一些进程的创建

[00:26] 以及这个进程的结束等等

[00:28] 这样的一些操作

[00:29] 我们首先看这个进程是如何创建的

[00:32] 我们说每一个进程在执行的过程当中

[00:35] 都可以创建它的子进程

[00:38] 而整个对应于操作系统来讲

[00:40] 它的所有的这些个进程

[00:42] 实际上是以一种竖状的形式进行组织的

[00:45] 也就是说对应于竖的这个根节点

[00:47] 创建了它的yes节点

[00:48] 然后由yes节点进一步创建了它自己的yes节点

[00:52] 因此我们说对应于一个操作系统来讲

[00:55] 它这些进程是以一种竖状的形式进行组织的

[00:58] 那么当一个副进程创建了一个子进程之后

[01:02] 我们说子进程在运行的过程当中

[01:04] 也是需要一定的资源才能运行的

[01:06] 那么这个时候副进程和子进程

[01:09] 一方面可以共享所有的资源

[01:11] 也就是说子进程本身就拥有了

[01:13] 副进程的所有的资源

[01:14] 那么另外一种情况

[01:16] 我们说子进程可以拥有副进程的

[01:19] 所有的资源的一个子集

[01:20] 除此之外还有第三种情况

[01:23] 就是副进程跟子进程并不共享资源

[01:25] 那么子进程在运行的过程当中

[01:27] 只能向操作系统去申请资源

[01:29] 申请资源操作系统去分配给它资源之后

[01:32] 它才能进一步执行

[01:33] 那么如果一个副进程创建了一个子进程

[01:37] 那么这两个进程的执行过程是什么样子呢

[01:39] 这里面是这样

[01:41] 就是一方面

[01:42] 我们可以让副进程和子进程

[01:44] 并发运行

[01:45] 也就是说在ready队列当中

[01:47] 可以有它的副进程

[01:48] 也可以有它的子进程

[01:49] 我们说这是一种情况

[01:50] 那么除此之外

[01:52] 我们说由副进程可以让执行的这个机会

[01:55] 让给自己的子进程

[01:56] 也就是说副进程创建了子进程之后

[01:59] 副进程把自己的状态变成waiting状态

[02:02] 或者是副进程把自己block掉

[02:04] 让这个运行的机会交给子进程

[02:06] 也就是说让子进程加载到ready队列的队委

[02:09] 参与调度和分派

[02:11] 我们说这就是进程创建的一个概要性的描述

[02:14] 这里面给大家举一个例子

[02:16] 我们看这个例子是这个UNIX的一个例子

[02:19] UNIX当中的这个Solaris

[02:21] 我们看这个右边这个图

[02:24] 我们看Solaris的这个整个进程

[02:26] 是以一种竖状形式去组织的

[02:28] 就是咱们看到这个图

[02:29] 整个系统当中有一个根结点

[02:32] 叫做SCHED

[02:34] 这样的一个进程

[02:35] 它的PID是0

[02:36] 这里面插一句

[02:37] 我们说每一个进程在创建的时候

[02:39] 由操作系统都会给它分配一个独立的整数

[02:42] 作为当前进程的标志符

[02:44] 我们一般叫做Precious Identifier

[02:47] 简称叫做PID

[02:48] 那么对于Solaris这个系统它的根结点

[02:51] 或者是所有进程的这个根进程

[02:53] 也就是所有的这些个进程的老组织

[02:56] 我们说这个根进程就叫做SCHED

[02:58] PID是等于0

[02:59] 那么由这个根进程在执行的过程当中

[03:02] 创建了三个子进程

[03:04] 分别是PID等于1和这个PID等于2

[03:07] 以及PID等于3这样三个进程

[03:09] 对于一号进程

[03:10] 我们说是INIT这样的一个进程

[03:12] 应该是这个进程是所有

[03:14] 用户进程的一个根结点

[03:17] 那这里面我们看二号进程

[03:19] 二号进程应该是一个PID这样一个进程

[03:22] 对于PID这样一个进程

[03:23] 它管理当前计算机系统的所有的内存

[03:26] 也就是说这个进程负责管理内存

[03:30] 然后我们看第三个进程

[03:31] 三号进程

[03:32] 三号进程也是这个当前的这个最上面

[03:34] 这个根结点的最后一个孩子

[03:35] 这个子进程

[03:36] 对吧

[03:37] 孩子进程

[03:38] 它实际上是管理当前计算机系统的

[03:40] 所有的文件管理

[03:41] 那我们说这是由三号进程管理

[03:43] 三号这个进程进行管理

[03:44] 那么下面给大家举一个例子

[03:46] 这个例子是一个Solaris的一个例子

[03:48] Solaris是一个典型的UNIX系统

[03:50] 那么下面我们以Solaris为例

[03:52] 来介绍这个进程的一个组织情况

